feature,label_horizon,metric,value,samples
ATR14,future_return_4,rolling_stability_200,0.675746,0
ATR14,future_return_4,regime_trending_low_vol,-0.011662,480
ATR14,future_return_4,regime_trending_high_vol,0.136020,324
ATR14,future_return_4,regime_ranging_high_vol,-0.020556,480
ATR14,future_return_4,regime_ranging_low_vol,-0.023952,1396
ATR14,future_return_12,pearson,-0.089719,2680
ATR14,future_return_12,spearman,-0.092999,2680
ATR14,future_return_12,q_top_pf,0.461422,268
ATR14,future_return_12,q_top_wr,0.347015,268
ATR14,future_return_12,q_bottom_pf,1.041447,268
ATR14,future_return_12,q_bottom_wr,0.552239,268
ATR14,future_return_12,rolling_mean_50,0.141745,0
ATR14,future_return_12,rolling_std_50,0.411236,0
ATR14,future_return_12,rolling_stability_50,0.642164,0
ATR14,future_return_12,rolling_mean_100,0.123412,0
ATR14,future_return_12,rolling_std_100,0.324505,0
ATR14,future_return_12,rolling_stability_100,0.696269,0
ATR14,future_return_12,rolling_mean_200,0.073632,0
ATR14,future_return_12,rolling_std_200,0.237548,0
ATR14,future_return_12,rolling_stability_200,0.663433,0
ATR14,future_return_12,regime_trending_low_vol,-0.012063,480
ATR14,future_return_12,regime_trending_high_vol,0.105260,324
ATR14,future_return_12,regime_ranging_high_vol,-0.093222,480
ATR14,future_return_12,regime_ranging_low_vol,-0.040697,1396
ATR14,future_return_24,pearson,-0.144838,2680
ATR14,future_return_24,spearman,-0.123578,2680
ATR14,future_return_24,q_top_pf,0.317183,268
ATR14,future_return_24,q_top_wr,0.294776,268
ATR14,future_return_24,q_bottom_pf,1.107151,268
ATR14,future_return_24,q_bottom_wr,0.578358,268
ATR14,future_return_24,rolling_mean_50,0.144629,0
ATR14,future_return_24,rolling_std_50,0.527020,0
ATR14,future_return_24,rolling_stability_50,0.640672,0
ATR14,future_return_24,rolling_mean_100,0.120709,0
ATR14,future_return_24,rolling_std_100,0.427603,0
ATR14,future_return_24,rolling_stability_100,0.646269,0
ATR14,future_return_24,rolling_mean_200,0.070586,0
ATR14,future_return_24,rolling_std_200,0.322416,0
ATR14,future_return_24,rolling_stability_200,0.624254,0
ATR14,future_return_24,regime_trending_low_vol,-0.093018,480
ATR14,future_return_24,regime_trending_high_vol,0.016662,324
ATR14,future_return_24,regime_ranging_high_vol,0.039164,480
ATR14,future_return_24,regime_ranging_low_vol,-0.034729,1396
ATR14,,decay_peak,0.134208,0
ATR14,,decay_avg,0.088218,0
ATR14,,decay_rate,-0.047561,0
ATR14,,decay_persistence,0.039086,0
ADX14,future_return_4,pearson,-0.008318,2680
ADX14,future_return_4,spearman,-0.023768,2680
ADX14,future_return_4,q_top_pf,0.844119,268
ADX14,future_return_4,q_top_wr,0.488806,268
ADX14,future_return_4,q_bottom_pf,0.554377,268
ADX14,future_return_4,q_bottom_wr,0.444030,268
ADX14,future_return_4,rolling_mean_50,0.071515,0
ADX14,future_return_4,rolling_std_50,0.312164,0
ADX14,future_return_4,rolling_stability_50,0.611194,0
ADX14,future_return_4,rolling_mean_100,0.024121,0
ADX14,future_return_4,rolling_std_100,0.199054,0
ADX14,future_return_4,rolling_stability_100,0.607836,0
ADX14,future_return_4,rolling_mean_200,-0.004350,0
ADX14,future_return_4,rolling_std_200,0.127049,0
ADX14,future_return_4,rolling_stability_200,0.438060,0
ADX14,future_return_4,regime_trending_low_vol,0.081549,480
ADX14,future_return_4,regime_trending_high_vol,0.087806,324
ADX14,future_return_4,regime_ranging_high_vol,0.131144,480
ADX14,future_return_4,regime_ranging_low_vol,0.014570,1396
ADX14,future_return_12,pearson,-0.037602,2680
ADX14,future_return_12,spearman,-0.049052,2680
ADX14,future_return_12,q_top_pf,0.808454,268
ADX14,future_return_12,q_top_wr,0.507463,268
ADX14,future_return_12,q_bottom_pf,0.488762,268
