feature,label_horizon,metric,value,samples
ATR14,future_return_4,rolling_stability_100,0.679144,0
ATR14,future_return_4,rolling_mean_200,-0.073246,0
ATR14,future_return_4,rolling_std_200,0.156799,0
ATR14,future_return_4,rolling_stability_200,0.669875,0
ATR14,future_return_4,regime_trending_low_vol,-0.024417,574
ATR14,future_return_4,regime_trending_high_vol,0.056043,268
ATR14,future_return_4,regime_ranging_high_vol,0.003312,574
ATR14,future_return_4,regime_ranging_low_vol,0.080173,1389
ATR14,future_return_12,pearson,-0.062622,2805
ATR14,future_return_12,spearman,-0.073358,2805
ATR14,future_return_12,q_top_pf,0.996404,280
ATR14,future_return_12,q_top_wr,0.485714,280
ATR14,future_return_12,q_bottom_pf,0.287699,281
ATR14,future_return_12,q_bottom_wr,0.498221,281
ATR14,future_return_12,rolling_mean_50,-0.149872,0
ATR14,future_return_12,rolling_std_50,0.349275,0
ATR14,future_return_12,rolling_stability_50,0.641711,0
ATR14,future_return_12,rolling_mean_100,-0.176899,0
ATR14,future_return_12,rolling_std_100,0.271920,0
ATR14,future_return_12,rolling_stability_100,0.758645,0
ATR14,future_return_12,rolling_mean_200,-0.161931,0
ATR14,future_return_12,rolling_std_200,0.211968,0
ATR14,future_return_12,rolling_stability_200,0.800357,0
ATR14,future_return_12,regime_trending_low_vol,0.056214,574
ATR14,future_return_12,regime_trending_high_vol,0.037056,268
ATR14,future_return_12,regime_ranging_high_vol,-0.050953,574
ATR14,future_return_12,regime_ranging_low_vol,0.009723,1389
ATR14,future_return_24,pearson,-0.107876,2805
ATR14,future_return_24,spearman,-0.095763,2805
ATR14,future_return_24,q_top_pf,0.880639,280
ATR14,future_return_24,q_top_wr,0.435714,280
ATR14,future_return_24,q_bottom_pf,0.238379,281
ATR14,future_return_24,q_bottom_wr,0.597865,281
ATR14,future_return_24,rolling_mean_50,-0.202312,0
ATR14,future_return_24,rolling_std_50,0.400847,0
ATR14,future_return_24,rolling_stability_50,0.705169,0
ATR14,future_return_24,rolling_mean_100,-0.245863,0
ATR14,future_return_24,rolling_std_100,0.342149,0
ATR14,future_return_24,rolling_stability_100,0.744742,0
ATR14,future_return_24,rolling_mean_200,-0.243786,0
ATR14,future_return_24,rolling_std_200,0.259159,0
ATR14,future_return_24,rolling_stability_200,0.808556,0
ATR14,future_return_24,regime_trending_low_vol,0.178835,574
ATR14,future_return_24,regime_trending_high_vol,-0.057620,268
ATR14,future_return_24,regime_ranging_high_vol,-0.068211,574
ATR14,future_return_24,regime_ranging_low_vol,-0.044921,1389
ATR14,,decay_peak,0.101820,0
ATR14,,decay_avg,0.063432,0
ATR14,,decay_rate,-0.040666,0
ATR14,,decay_persistence,0.020487,0
ADX14,future_return_4,pearson,0.023594,2805
ADX14,future_return_4,spearman,0.035670,2805
ADX14,future_return_4,q_top_pf,1.967951,280
ADX14,future_return_4,q_top_wr,0.482143,280
ADX14,future_return_4,q_bottom_pf,3.708965,281
ADX14,future_return_4,q_bottom_wr,0.444840,281
ADX14,future_return_4,rolling_mean_50,-0.028190,0
ADX14,future_return_4,rolling_std_50,0.275447,0
ADX14,future_return_4,rolling_stability_50,0.514795,0
ADX14,future_return_4,rolling_mean_100,-0.022081,0
ADX14,future_return_4,rolling_std_100,0.194064,0
ADX14,future_return_4,rolling_stability_100,0.536542,0
ADX14,future_return_4,rolling_mean_200,-0.012252,0
ADX14,future_return_4,rolling_std_200,0.161698,0
ADX14,future_return_4,rolling_stability_200,0.475936,0
ADX14,future_return_4,regime_trending_low_vol,0.013286,574
ADX14,future_return_4,regime_trending_high_vol,0.006535,268
ADX14,future_return_4,regime_ranging_high_vol,0.008625,574
ADX14,future_return_4,regime_ranging_low_vol,0.068471,1389
ADX14,future_return_12,pearson,0.043845,2805
ADX14,future_return_12,spearman,0.060655,2805
ADX14,future_return_12,q_top_pf,1.956650,280
ADX14,future_return_12,q_top_wr,0.532143,280
ADX14,future_return_12,q_bottom_pf,15.334897,281
ADX14,future_return_12,q_bottom_wr,0.455516,281
ADX14,future_return_12,rolling_mean_50,-0.018008,0
ADX14,future_return_12,rolling_std_50,0.420230,0
ADX14,future_return_12,rolling_stability_50,0.517291,0
ADX14,future_return_12,rolling_mean_100,-0.003718,0
ADX14,future_return_12,rolling_std_100,0.326664,0
ADX14,future_return_12,rolling_stability_100,0.506595,0
ADX14,future_return_12,rolling_mean_200,0.016021,0
ADX14,future_return_12,rolling_std_200,0.296212,0
ADX14,future_return_12,rolling_stability_200,0.602139,0
ADX14,future_return_12,regime_trending_low_vol,-0.000653,574
ADX14,future_return_12,regime_trending_high_vol,0.023930,268
ADX14,future_return_12,regime_ranging_high_vol,-0.045699,574
ADX14,future_return_12,regime_ranging_low_vol,0.034529,1389
ADX14,future_return_24,pearson,0.035759,2805
ADX14,future_return_24,spearman,0.121429,2805
ADX14,future_return_24,q_top_pf,1.904538,280
ADX14,future_return_24,q_top_wr,0.589286,280
ADX14,future_return_24,q_bottom_pf,12.451356,281
ADX14,future_return_24,q_bottom_wr,0.473310,281
ADX14,future_return_24,rolling_mean_50,0.024081,0
ADX14,future_return_24,rolling_std_50,0.486803,0
ADX14,future_return_24,rolling_stability_50,0.536898,0
ADX14,future_return_24,rolling_mean_100,0.037357,0
ADX14,future_return_24,rolling_std_100,0.421846,0
ADX14,future_return_24,rolling_stability_100,0.559715,0
ADX14,future_return_24,rolling_mean_200,0.055791,0
ADX14,future_return_24,rolling_std_200,0.399797,0
ADX14,future_return_24,rolling_stability_200,0.608913,0
ADX14,future_return_24,regime_trending_low_vol,-0.119201,574
ADX14,future_return_24,regime_trending_high_vol,-0.000909,268
ADX14,future_return_24,regime_ranging_high_vol,-0.164161,574
ADX14,future_return_24,regime_ranging_low_vol,0.036828,1389
ADX14,,decay_peak,0.078594,0
ADX14,,decay_avg,0.053492,0
ADX14,,decay_rate,-0.024481,0
ADX14,,decay_persistence,0.029632,0
VolumeEMA20,future_return_4,pearson,-0.054306,2805
VolumeEMA20,future_return_4,spearman,-0.017841,2805
VolumeEMA20,future_return_4,q_top_pf,1.390106,280
VolumeEMA20,future_return_4,q_top_wr,0.492857,280
VolumeEMA20,future_return_4,q_bottom_pf,0.393544,281
VolumeEMA20,future_return_4,q_bottom_wr,0.430605,281
VolumeEMA20,future_return_4,rolling_mean_50,0.014886,0
VolumeEMA20,future_return_4,rolling_std_50,0.263421,0
VolumeEMA20,future_return_4,rolling_stability_50,0.548307,0
VolumeEMA20,future_return_4,rolling_mean_100,0.025480,0
VolumeEMA20,future_return_4,rolling_std_100,0.213630,0
VolumeEMA20,future_return_4,rolling_stability_100,0.588592,0
